locale	ui_path	surface	target_text	placeholders	source_style_guide	source_phrasebook	review_focus	native_review_status	reviewer_notes
pl	complianceAndMonetization.complianceLinks.links.aboutTheTest	complianceAndMonetization	O teście		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.complianceLinks.links.disclaimer	complianceAndMonetization	Zastrzeżenia		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.complianceLinks.links.privacy	complianceAndMonetization	Prywatność		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.complianceLinks.links.sources	complianceAndMonetization	Źródła do nauki		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.complianceLinks.links.support	complianceAndMonetization	Pomoc		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.complianceLinks.links.terms	complianceAndMonetization	Warunki		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.complianceLinks.openLabelTemplate	complianceAndMonetization	Otwórz: {label}	{label}	docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.complianceLinks.title	complianceAndMonetization	Informacje prawne i źródła		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.legalPage.defaultBackAccessibilityLabel	complianceAndMonetization	Wróć do profilu		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	accessibility_label	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.legalPage.defaultBackLabel	complianceAndMonetization	← Wróć do profilu		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.legalPage.externalLinkAccessibilityTemplate	complianceAndMonetization	Otwórz stronę zewnętrzną: {label}	{label}	docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.buyLabelTemplate	complianceAndMonetization	Kup za {price}	{price}	docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.pricingPitchTemplate	complianceAndMonetization	Jednorazowa płatność {price} usuwa reklamy. To nie jest subskrypcja.	{price}	docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.removeAdsActiveTitle	complianceAndMonetization	Nauka bez reklam jest włączona		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.removeAdsBodyTemplate	complianceAndMonetization	Bezpłatne ekrany nauki mogą zawierać reklamy. Jednorazowa płatność {price} usuwa reklamy z ekranów nauki; egzamin próbny reklam nie zawiera.	{price}	docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.removeAdsTitle	complianceAndMonetization	Usuń reklamy		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.restoreLabel	complianceAndMonetization	Przywróć wcześniejszy zakup		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.statusMessages.error	complianceAndMonetization	Zakup nie jest teraz dostępny. Spróbuj ponownie później.		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.statusMessages.idle	complianceAndMonetization	Jeśli zakup był już dokonany, możesz go przywrócić.		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.statusMessages.pending	complianceAndMonetization	Czekamy na potwierdzenie ze sklepu aplikacji.		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.statusMessages.purchased	complianceAndMonetization	Reklamy zostały wyłączone na tym urządzeniu.		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.monetization.statusMessages.restored	complianceAndMonetization	Zakup został przywrócony, a reklamy wyłączone.		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.privacy.adsAndPurchases.body	complianceAndMonetization	Wersja bezpłatna może pokazywać reklamy na ekranach nauki. Ekrany egzaminu próbnego z limitem czasu nie zawierają reklam. Usunięcie reklam to jednorazowy zakup, który można przywrócić w sklepie aplikacji.		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.privacy.adsAndPurchases.title	complianceAndMonetization	Reklamy i zakupy		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.privacy.dataBoundary.body	complianceAndMonetization	W wiadomościach do pomocy nie podawaj imienia i nazwiska, numeru identyfikacyjnego, danych spraw migracyjnych ani dokumentów urzędowych. Aplikacja nie potrzebuje takich danych, aby wspierać naukę.		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.privacy.dataBoundary.title	complianceAndMonetization	Nie przesyłaj danych wrażliwych		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.privacy.localProgressStorage.body	complianceAndMonetization	Postęp, ustawienia, oznaczone pytania, błędne odpowiedzi, XP, dni nauki z rzędu i wybór dźwięku są zapisywane na tym urządzeniu, aby aplikacja pamiętała miejsce nauki.		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
pl	complianceAndMonetization.privacy.localProgressStorage.title	complianceAndMonetization	Postępy w nauce są zapisywane na tym urządzeniu		docs/localization/sample-corpus/pl/style-guide.md	locales/pl/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
