locale	ui_path	surface	target_text	placeholders	source_style_guide	source_phrasebook	review_focus	native_review_status	reviewer_notes
ti	complianceAndMonetization.complianceLinks.links.aboutTheTest	complianceAndMonetization	ብዛዕባ ፈተና		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.complianceLinks.links.disclaimer	complianceAndMonetization	መብርሂ ሓላፍነት		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.complianceLinks.links.privacy	complianceAndMonetization	ምስጢርነት		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.complianceLinks.links.sources	complianceAndMonetization	ምንጭታት ምምሃር		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.complianceLinks.links.support	complianceAndMonetization	ደገፍ		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.complianceLinks.links.terms	complianceAndMonetization	ቅድመ-ኩነታት		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.complianceLinks.openLabelTemplate	complianceAndMonetization	ክፈት፦ {label}	{label}	docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.complianceLinks.title	complianceAndMonetization	ሕጋዊ ሓበሬታን ምንጭታትን		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.legalPage.defaultBackAccessibilityLabel	complianceAndMonetization	ናብ ፕሮፋይል ተመለስ		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	accessibility_label	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.legalPage.defaultBackLabel	complianceAndMonetization	← ናብ ፕሮፋይል ተመለስ		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.legalPage.externalLinkAccessibilityTemplate	complianceAndMonetization	ናይ ደገ ገጽ ክፈት፦ {label}	{label}	docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.monetization.buyLabelTemplate	complianceAndMonetization	ብ {price} ዓድግ	{price}	docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.monetization.pricingPitchTemplate	complianceAndMonetization	{price} ሓደ ግዜ ምኽፋል ምልክታታት የልግስ። ወርሓዊ ምዝገባ ኣይኮነን።	{price}	docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.monetization.removeAdsActiveTitle	complianceAndMonetization	ብዘይ ምልክታታት ምምሃር ተኸፊቱ ኣሎ		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.monetization.removeAdsBodyTemplate	complianceAndMonetization	ናይ ነጻ ገጻት ምምሃር ምልክታታት ክህልዎም ይኽእል። {price} ሓደ ግዜ ብምኽፋል ምልክታታት ካብ ገጻት ምምሃር ይእለዩ፤ ፈተና ልምምድ ምልክታታት የብሉን።	{price}	docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
ti	complianceAndMonetization.monetization.removeAdsTitle	complianceAndMonetization	ምልክታታት ኣልግስ		docs/localization/sample-corpus/ti/style-guide.md	locales/ti/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
