locale	ui_path	surface	target_text	placeholders	source_style_guide	source_phrasebook	review_focus	native_review_status	reviewer_notes
uk	complianceAndMonetization.complianceLinks.links.aboutTheTest	complianceAndMonetization	Про тест		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.complianceLinks.links.disclaimer	complianceAndMonetization	Застереження		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.complianceLinks.links.privacy	complianceAndMonetization	Конфіденційність		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.complianceLinks.links.sources	complianceAndMonetization	Джерела для навчання		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.complianceLinks.links.support	complianceAndMonetization	Підтримка		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.complianceLinks.links.terms	complianceAndMonetization	Умови		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.complianceLinks.openLabelTemplate	complianceAndMonetization	Відкрити: {label}	{label}	docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.complianceLinks.title	complianceAndMonetization	Правова інформація та джерела		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.legalPage.defaultBackAccessibilityLabel	complianceAndMonetization	Повернутися до профілю		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	accessibility_label	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.legalPage.defaultBackLabel	complianceAndMonetization	← Назад до профілю		docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
uk	complianceAndMonetization.legalPage.externalLinkAccessibilityTemplate	complianceAndMonetization	Відкрити зовнішню сторінку: {label}	{label}	docs/localization/sample-corpus/uk/style-guide.md	locales/uk/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
