locale	ui_path	surface	target_text	placeholders	source_style_guide	source_phrasebook	review_focus	native_review_status	reviewer_notes
so	complianceAndMonetization.complianceLinks.links.aboutTheTest	complianceAndMonetization	Ku saabsan imtixaanka		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.complianceLinks.links.disclaimer	complianceAndMonetization	Qeexid		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.complianceLinks.links.privacy	complianceAndMonetization	Asturnaan		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.complianceLinks.links.sources	complianceAndMonetization	Ilaha waxbarashada		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.complianceLinks.links.support	complianceAndMonetization	Taageero		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.complianceLinks.links.terms	complianceAndMonetization	Shuruudo		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.complianceLinks.openLabelTemplate	complianceAndMonetization	Fur: {label}	{label}	docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.complianceLinks.title	complianceAndMonetization	Macluumaad sharci iyo ilo		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.legalPage.defaultBackAccessibilityLabel	complianceAndMonetization	Ku noqo boggaaga		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	accessibility_label	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.legalPage.defaultBackLabel	complianceAndMonetization	← Ku noqo boggaaga		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.legalPage.externalLinkAccessibilityTemplate	complianceAndMonetization	Fur bog dibadda ah: {label}	{label}	docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.buyLabelTemplate	complianceAndMonetization	Iibso {price}	{price}	docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.pricingPitchTemplate	complianceAndMonetization	Hal mar bixi {price} si aad uga saarto xayeysiiska. Ma jiro isdiiwaangelin bille ah.	{price}	docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.removeAdsActiveTitle	complianceAndMonetization	Waxbarasho aan xayeysiis lahayn waa shidan tahay		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.removeAdsBodyTemplate	complianceAndMonetization	Bogagga waxbarashada bilaashka ah waxay yeelan karaan xayeysiis. Hal mar bixi {price} si aad uga saarto xayeysiiska bogagga waxbarashada; imtixaanka tijaabada ah xayeysiis kuma laha.	{price}	docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.removeAdsTitle	complianceAndMonetization	Ka saar xayeysiiska		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.restoreLabel	complianceAndMonetization	Soo celi iibsigii hore		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.statusMessages.error	complianceAndMonetization	Hadda iibsi lama samayn karo. Mar kale isku day goor dambe.		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.statusMessages.idle	complianceAndMonetization	Haddii aad hore u iibsatay, waad soo celin kartaa.		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.statusMessages.pending	complianceAndMonetization	Waxaan sugaynaa xaqiijinta dukaanka app-ka.		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.statusMessages.purchased	complianceAndMonetization	Xayeysiiska qalabkan waa la damiyay.		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.monetization.statusMessages.restored	complianceAndMonetization	Iibsigii waa la soo celiyay, xayeysiiskana waa la damiyay.		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.privacy.adsAndPurchases.body	complianceAndMonetization	Nooca bilaashka ah wuxuu xayeysiis ku muujin karaa bogagga waxbarashada. Bogagga imtixaanka tijaabada ah ee wakhtiga leh xayeysiis kuma jiraan. Ka saar xayeysiiska waa hal iibsi oo laga soo celin karo dukaanka app-ka.		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.privacy.adsAndPurchases.title	complianceAndMonetization	Xayeysiis iyo iibsi		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.privacy.dataBoundary.body	complianceAndMonetization	Ha gelin magacaaga, lambarkaaga shakhsiga, faahfaahinta kiis socdaal, ama dukumenti dowladeed fariimaha taageerada. App-kan uma baahna xogtaas si uu kuugu caawiyo waxbarashada.		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
so	complianceAndMonetization.privacy.dataBoundary.title	complianceAndMonetization	Xuduudda xogta xasaasiga ah		docs/localization/sample-corpus/so/style-guide.md	locales/so/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
