id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q001	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Var ligger Sverige?	Where is Sweden located?	أين تقع السويد؟	a	I Norden i norra Europa	In the Nordic region in northern Europe	في منطقة الشمال الأوروبي في شمال أوروبا	a: I Norden i norra Europa | b: I södra Europa | c: I västra Asien | d: I Nordamerika	a: In the Nordic region in northern Europe | b: In southern Europe | c: In western Asia | d: In North America	a: في منطقة الشمال الأوروبي في شمال أوروبا | b: في جنوب أوروبا | c: في غرب آسيا | d: في أمريكا الشمالية	Sverige ligger i Norden i norra Europa. Norden består av Danmark, Finland, Island, Norge och Sverige och är en del av norra Europa.	Sweden is in the Nordic region in northern Europe. The Nordic region includes Denmark, Finland, Iceland, Norway, and Sweden and is part of northern Europe.	تقع السويد في منطقة الشمال الأوروبي في شمال أوروبا. وتشمل هذه المنطقة الدنمارك وفنلندا وآيسلندا والنرويج والسويد.	pending_native_review	pending_reviewer_notes
q002	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Sveriges nordligaste del ligger norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle.	يقع أقصى شمال السويد شمال الدائرة القطبية الشمالية.	true	Sant	True	صحيح	true: Sant | false: Falskt	true: True | false: False	true: صحيح | false: خطأ	Sveriges nordligaste del ligger norr om polcirkeln, i det arktiska området. Den norra delen av landet sträcker sig alltså in i området norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle, in the Arctic area. The northern part of the country therefore extends into the area north of the Arctic Circle.	يقع أقصى شمال السويد شمال الدائرة القطبية الشمالية، في المنطقة القطبية. لذلك تمتد الأجزاء الشمالية من البلاد إلى المنطقة الواقعة شمال الدائرة القطبية الشمالية.	pending_native_review	pending_reviewer_notes
q003	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Ungefär hur långt sträcker sig Sverige från Treriksröset till Smygehuk?	Approximately how far does Sweden stretch from Treriksröset to Smygehuk?	ما المسافة التقريبية التي تمتد فيها السويد من Treriksröset إلى Smygehuk؟	b	Cirka 1 600 kilometer	About 1,600 kilometres	نحو 1600 كيلومتر	a: Cirka 160 kilometer | b: Cirka 1 600 kilometer | c: Cirka 16 000 kilometer | d: Cirka 60 kilometer	a: About 160 kilometres | b: About 1,600 kilometres | c: About 16,000 kilometres | d: About 60 kilometres	a: نحو 160 كيلومترًا | b: نحو 1600 كيلومتر | c: نحو 16000 كيلومتر | d: نحو 60 كيلومترًا	Sverige är ett avlångt land som sträcker sig cirka 1 600 kilometer från Treriksröset i norr till Smygehuk i söder. Avstånden 160 och 60 kilometer är för korta, och 16 000 kilometer är för långt.	Sweden is an elongated country that stretches about 1,600 kilometres from Treriksröset in the north to Smygehuk in the south. The distances 160 and 60 kilometres are too short, and 16,000 kilometres is too long.	السويد بلد طويل وممتد؛ تبلغ المسافة من Treriksröset في الشمال إلى Smygehuk في الجنوب نحو 1600 كيلومتر. أما 160 و60 كيلومترًا فقصيرتان جدًا، و16000 كيلومتر طويلة جدًا.	pending_native_review	pending_reviewer_notes
q004	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vad heter havet vid Sveriges östra kust?	What is the sea along Sweden's eastern coast called?	ما اسم البحر على الساحل الشرقي للسويد؟	c	Östersjön	The Baltic Sea	بحر البلطيق	a: Nordsjön | b: Medelhavet | c: Östersjön | d: Atlanten	a: The North Sea | b: The Mediterranean Sea | c: The Baltic Sea | d: The Atlantic Ocean	a: بحر الشمال | b: البحر الأبيض المتوسط | c: بحر البلطيق | d: المحيط الأطلسي	Havet vid Sveriges östra kust heter Östersjön. Nordsjön, Medelhavet och Atlanten är inte namnet på havet vid Sveriges östra kust.	The sea along Sweden's eastern coast is the Baltic Sea. The North Sea, the Mediterranean Sea, and the Atlantic Ocean are not the sea along Sweden's eastern coast.	البحر على الساحل الشرقي للسويد هو بحر البلطيق. أما بحر الشمال والبحر الأبيض المتوسط والمحيط الأطلسي فليست أسماء البحر الواقع على الساحل الشرقي للسويد.	pending_native_review	pending_reviewer_notes
q005	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vilka öar är Sveriges två största?	Which islands are Sweden's two largest?	ما أكبر جزيرتين في السويد؟	a	Gotland och Öland	Gotland and Öland	Gotland و Öland	a: Gotland och Öland | b: Hisingen och Orust | c: Värmdö och Tjörn | d: Malmö och Göteborg	a: Gotland and Öland | b: Hisingen and Orust | c: Värmdö and Tjörn | d: Malmö and Gothenburg	a: Gotland و Öland | b: Hisingen و Orust | c: Värmdö و Tjörn | d: Malmö و Göteborg	Sveriges två största öar är Gotland och Öland. Hisingen, Orust, Värmdö och Tjörn är också svenska öar men är inte de två största, och Malmö och Göteborg är städer.	Sweden's two largest islands are Gotland and Öland. Hisingen, Orust, Värmdö, and Tjörn are also Swedish islands but are not the two largest, and Malmö and Gothenburg are cities.	أكبر جزيرتين في السويد هما Gotland وÖland. وتُعد Hisingen وOrust وVärmdö وTjörn جزرًا سويدية أيضًا لكنها ليست الأكبر، أما Malmö وGöteborg فهما مدينتان.	pending_native_review	pending_reviewer_notes
q006	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Golfströmmen och den Nordatlantiska strömmen bidrar till Sveriges milda klimat.	The Gulf Stream and the North Atlantic Current help make Sweden's climate mild.	يساعد تيار الخليج وتيار شمال الأطلسي في جعل مناخ السويد معتدلًا.	true	Sant	True	صحيح	true: Sant | false: Falskt	true: True | false: False	true: صحيح | false: خطأ	Sverige har ett milt klimat jämfört med många andra områden på samma breddgrad. Golfströmmen och den Nordatlantiska strömmen transporterar varmt vatten mot Europa, vilket värmer luften som vindarna för in över Sverige.	Sweden has a mild climate compared with many other areas at the same latitude. The Gulf Stream and the North Atlantic Current carry warm water toward Europe, warming the air that winds bring over Sweden.	لدى السويد مناخ معتدل مقارنة بكثير من المناطق الأخرى الواقعة على خط العرض نفسه. ينقل تيار الخليج وتيار شمال الأطلسي مياهًا دافئة نحو أوروبا، فتدفئ الهواء الذي تحمله الرياح إلى السويد.	pending_native_review	pending_reviewer_notes
q007	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Fjäll	6	Vad heter Sveriges högsta berg?	What is the name of Sweden's highest mountain?	ما اسم أعلى جبل في السويد؟	a	Kebnekaise	Kebnekaise	Kebnekaise	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	Sveriges högsta berg heter Kebnekaise och är cirka 2 000 meter högt. Det ligger i fjällen, den del av bergskedjan Skanderna som går längs gränsen mot Norge.	Sweden's highest mountain is Kebnekaise, at about 2,000 metres. It is in the mountain region called fjällen, part of the Scandinavian Mountains along the border with Norway.	أعلى جبل في السويد هو Kebnekaise، ويبلغ ارتفاعه نحو 2000 متر. يقع في منطقة الجبال المعروفة باسم fjällen، وهي جزء من جبال إسكندنافيا الممتدة على الحدود مع النرويج. (Treriksröset; Smygehuk)	pending_native_review	pending_reviewer_notes
q008	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Skogar, sjöar och öar	6	Vilka är Sveriges tre största sjöar?	What are Sweden's three largest lakes?	ما أكبر ثلاث بحيرات في السويد؟	a	Vänern, Vättern och Mälaren	Vänern, Vättern, and Mälaren	Vänern وVättern وMälaren	a: Vänern, Vättern och Mälaren | b: Östersjön, Kattegatt och Skagerrak | c: Gotland, Öland och Orust | d: Stockholm, Göteborg och Malmö	a: Vänern, Vättern, and Mälaren | b: The Baltic Sea, Kattegat, and Skagerrak | c: Gotland, Öland, and Orust | d: Stockholm, Gothenburg, and Malmö	a: Vänern وVättern وMälaren | b: بحر البلطيق وKattegat وSkagerrak | c: Gotland وÖland وOrust | d: Stockholm وGöteborg وMalmö	Sverige har många sjöar spridda över hela landet, och de tre största är Vänern, Vättern och Mälaren. De andra alternativen räknar upp havsområden, öar eller städer i stället för sjöar.	Sweden has many lakes throughout the country, and the three largest are Vänern, Vättern, and Mälaren. The other choices list sea areas, islands, or cities instead of lakes.	توجد في السويد بحيرات كثيرة في أنحاء البلاد، وأكبر ثلاث هي Vänern وVättern وMälaren. أما الخيارات الأخرى فتذكر مناطق بحرية أو جزرًا أو مدنًا بدلًا من البحيرات.	pending_native_review	pending_reviewer_notes
q009	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Befolkning	7	Ungefär hur många människor bor i Sverige?	Approximately how many people live in Sweden?	كم يبلغ عدد سكان السويد تقريبًا؟	a	Nästan 11 miljoner	Almost 11 million	نحو 11 مليونًا	a: Nästan 11 miljoner | b: Nästan 1 miljon | c: Cirka 50 miljoner | d: Cirka 100 miljoner	a: Almost 11 million | b: Almost 1 million | c: About 50 million | d: About 100 million	a: نحو 11 مليونًا | b: نحو مليون واحد | c: نحو 50 مليونًا | d: نحو 100 مليون	Det bor nästan 11 miljoner människor i Sverige. Befolkningen är inte jämnt fördelad: de flesta bor i den södra delen av landet och längs kusterna.	Almost 11 million people live in Sweden. The population is not evenly distributed: most people live in the southern part of the country and along the coasts.	يعيش في السويد نحو 11 مليون شخص. ولا يتوزع السكان بالتساوي؛ فمعظم الناس يعيشون في جنوب البلاد وعلى طول السواحل.	pending_native_review	pending_reviewer_notes
q010	ar	1	Ch. 01 · The country of Sweden	Landet Sverige	Naturresurser	7	Vilka naturresurser är viktiga i Sverige?	Which natural resources are important in Sweden?	ما الموارد الطبيعية المهمة في السويد؟	a	Järnmalm och andra mineraler, skog, jordbruksmark och vatten	Iron ore and other minerals, forest, agricultural land, and water	خام الحديد ومعادن أخرى، والغابات، والأراضي الزراعية، والمياه	a: Järnmalm och andra mineraler, skog, jordbruksmark och vatten | b: Olja, naturgas, ökenmark och tropiskt regn | c: Kol, diamantgruvor, vulkanjord och palmer | d: Risfält, bomullsplantager, korallrev och tidvatten	a: Iron ore and other minerals, forest, agricultural land, and water | b: Oil, natural gas, desert land, and tropical rain | c: Coal, diamond mines, volcanic soil, and palm trees | d: Rice fields, cotton plantations, coral reefs, and tides	a: خام الحديد ومعادن أخرى، والغابات، والأراضي الزراعية، والمياه | b: النفط والغاز الطبيعي والأراضي الصحراوية والأمطار الاستوائية | c: الفحم ومناجم الألماس والتربة البركانية وأشجار النخيل | d: حقول الأرز ومزارع القطن والشعاب المرجانية والمد والجزر	Sverige är rikt på flera viktiga naturresurser: järnmalm och andra mineraler, skog, jordbruksmark och vatten. Olja, naturgas, ökenmark, tropiskt regn och liknande beskriver inte Sveriges viktiga naturresurser.	Sweden is rich in several important natural resources: iron ore and other minerals, forests, agricultural land, and water. Oil, natural gas, desert land, tropical rain, and similar items do not describe Sweden's important natural resources.	السويد غنية بعدة موارد طبيعية مهمة: خام الحديد ومعادن أخرى، والغابات، والأراضي الزراعية، والمياه. أما النفط والغاز الطبيعي والأراضي الصحراوية والأمطار الاستوائية وما شابهها فلا تصف الموارد الطبيعية المهمة في السويد.	pending_native_review	pending_reviewer_notes
