id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q001	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Var ligger Sverige?	Where is Sweden located?	سوید لە کوێیە؟	a	I Norden i norra Europa	In the Nordic region in northern Europe	لە ناوچەی نۆردیک لە باکووری ئەوروپا	a: I Norden i norra Europa | b: I södra Europa | c: I västra Asien | d: I Nordamerika	a: In the Nordic region in northern Europe | b: In southern Europe | c: In western Asia | d: In North America	a: لە ناوچەی نۆردیک لە باکووری ئەوروپا | b: لە باشووری ئەوروپا | c: لە ڕۆژئاوای ئاسیا | d: لە ئەمریکای باکوور	Sverige ligger i Norden i norra Europa. Norden består av Danmark, Finland, Island, Norge och Sverige och är en del av norra Europa.	Sweden is in the Nordic region in northern Europe. The Nordic region includes Denmark, Finland, Iceland, Norway, and Sweden and is part of northern Europe.	سوید لە ناوچەی نۆردیک لە باکووری ئەوروپا دەکەوێت. ئەم ناوچەیە دانمارک، فینلاند، ئایسلاند، نەرویج و سوید دەگرێتەوە.	pending_native_review	pending_reviewer_notes
q002	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Sveriges nordligaste del ligger norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle.	باکوورترین بەشی سوید لە باکووری بازنەی جەمسەریی باکوورە.	true	Sant	True	ڕاستە	true: Sant | false: Falskt	true: True | false: False	true: ڕاستە | false: هەڵەیە	Sveriges nordligaste del ligger norr om polcirkeln, i det arktiska området. Den norra delen av landet sträcker sig alltså in i området norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle, in the Arctic area. The northern part of the country therefore extends into the area north of the Arctic Circle.	باکوورترین بەشی سوید لە باکووری بازنەی جەمسەریی باکوور، لە ناوچەی ئەرکتیکدایە. بۆیە باکووری وڵات دەگاتە ناوچەکانی باکووری ئەو بازنەیە.	pending_native_review	pending_reviewer_notes
q003	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Ungefär hur långt sträcker sig Sverige från Treriksröset till Smygehuk?	Approximately how far does Sweden stretch from Treriksröset to Smygehuk?	سوید بە نزیکەیی چەند دوورە لە Treriksröset تا Smygehuk؟	b	Cirka 1 600 kilometer	About 1,600 kilometres	نزیکەی ١٦٠٠ کیلۆمەتر	a: Cirka 160 kilometer | b: Cirka 1 600 kilometer | c: Cirka 16 000 kilometer | d: Cirka 60 kilometer	a: About 160 kilometres | b: About 1,600 kilometres | c: About 16,000 kilometres | d: About 60 kilometres	a: نزیکەی ١٦٠ کیلۆمەتر | b: نزیکەی ١٦٠٠ کیلۆمەتر | c: نزیکەی ١٦٠٠٠ کیلۆمەتر | d: نزیکەی ٦٠ کیلۆمەتر	Sverige är ett avlångt land som sträcker sig cirka 1 600 kilometer från Treriksröset i norr till Smygehuk i söder. Avstånden 160 och 60 kilometer är för korta, och 16 000 kilometer är för långt.	Sweden is an elongated country that stretches about 1,600 kilometres from Treriksröset in the north to Smygehuk in the south. The distances 160 and 60 kilometres are too short, and 16,000 kilometres is too long.	سوید وڵاتێکی درێژە کە نزیکەی ١٦٠٠ کیلۆمەتر لە Treriksröset لە باکوورەوە تا Smygehuk لە باشوور درێژ دەبێتەوە. ١٦٠ و ٦٠ کیلۆمەتر زۆر کورتن، و ١٦٠٠٠ کیلۆمەتر زۆر درێژە.	pending_native_review	pending_reviewer_notes
q004	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vad heter havet vid Sveriges östra kust?	What is the sea along Sweden's eastern coast called?	دەریای کەناری ڕۆژهەڵاتی سوید چییە؟	c	Östersjön	The Baltic Sea	دەریای بەڵتیک	a: Nordsjön | b: Medelhavet | c: Östersjön | d: Atlanten	a: The North Sea | b: The Mediterranean Sea | c: The Baltic Sea | d: The Atlantic Ocean	a: دەریای باکوور | b: دەریای ناوەڕاست | c: دەریای بەڵتیک | d: زەریای ئەتڵەسی	Havet vid Sveriges östra kust heter Östersjön. Nordsjön, Medelhavet och Atlanten är inte namnet på havet vid Sveriges östra kust.	The sea along Sweden's eastern coast is the Baltic Sea. The North Sea, the Mediterranean Sea, and the Atlantic Ocean are not the sea along Sweden's eastern coast.	دەریای کەناری ڕۆژهەڵاتی سوید دەریای بەڵتیکە. دەریای باکوور، دەریای ناوەڕاست و زەریای ئەتڵەسی ناوی ئەو دەریایە نین.	pending_native_review	pending_reviewer_notes
q005	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vilka öar är Sveriges två största?	Which islands are Sweden's two largest?	دوو گەورەترین دوورگەی سوید کامانەن؟	a	Gotland och Öland	Gotland and Öland	Gotland و Öland	a: Gotland och Öland | b: Hisingen och Orust | c: Värmdö och Tjörn | d: Malmö och Göteborg	a: Gotland and Öland | b: Hisingen and Orust | c: Värmdö and Tjörn | d: Malmö and Gothenburg	a: Gotland و Öland | b: Hisingen و Orust | c: Värmdö و Tjörn | d: Malmö و Göteborg	Sveriges två största öar är Gotland och Öland. Hisingen, Orust, Värmdö och Tjörn är också svenska öar men är inte de två största, och Malmö och Göteborg är städer.	Sweden's two largest islands are Gotland and Öland. Hisingen, Orust, Värmdö, and Tjörn are also Swedish islands but are not the two largest, and Malmö and Gothenburg are cities.	دوو گەورەترین دوورگەی سوید Gotland و Öland ن. Hisingen و Orust و Värmdö و Tjörnیش دوورگەی سویدین بەڵام دوو گەورەترینەکان نین، و Malmö و Göteborg شارن.	pending_native_review	pending_reviewer_notes
q006	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Golfströmmen och den Nordatlantiska strömmen bidrar till Sveriges milda klimat.	The Gulf Stream and the North Atlantic Current help make Sweden's climate mild.	ڕەوتی گەلف و ڕەوتی باکووری ئەتڵەسی یارمەتی دەدەن کە ئاووهەوای سوید نەرمو مامناوەند بێت.	true	Sant	True	ڕاستە	true: Sant | false: Falskt	true: True | false: False	true: ڕاستە | false: هەڵەیە	Sverige har ett milt klimat jämfört med många andra områden på samma breddgrad. Golfströmmen och den Nordatlantiska strömmen transporterar varmt vatten mot Europa, vilket värmer luften som vindarna för in över Sverige.	Sweden has a mild climate compared with many other areas at the same latitude. The Gulf Stream and the North Atlantic Current carry warm water toward Europe, warming the air that winds bring over Sweden.	سوید بە بەراورد لەگەڵ زۆر ناوچەی تر لە هەمان پانی جوگرافی، ئاووهەوایەکی نەرمتری هەیە. ڕەوتی گەلف و ڕەوتی باکووری ئەتڵەسی ئاوی گەرم بەرەو ئەوروپا دەگوازنەوە و ئەو هەوایە گەرم دەکەن کە با بەرەو سوید دەیهێنێت.	pending_native_review	pending_reviewer_notes
q007	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Fjäll	6	Vad heter Sveriges högsta berg?	What is the name of Sweden's highest mountain?	ناوی بەرزترین چیای سوید چییە؟	a	Kebnekaise	Kebnekaise	Kebnekaise	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	Sveriges högsta berg heter Kebnekaise och är cirka 2 000 meter högt. Det ligger i fjällen, den del av bergskedjan Skanderna som går längs gränsen mot Norge.	Sweden's highest mountain is Kebnekaise, at about 2,000 metres. It is in the mountain region called fjällen, part of the Scandinavian Mountains along the border with Norway.	بەرزترین چیای سوید Kebnekaise ـە و نزیکەی ٢٠٠٠ مەتر بەرزە. ئەو لە ناوچەی چیاکان کە fjällen پێی دەوترێت هەیە، بەشێک لە چیای سکاندیناڤیا کە بە سنووری نەرویجدا دەڕوات. (Treriksröset; Smygehuk)	pending_native_review	pending_reviewer_notes
q008	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Skogar, sjöar och öar	6	Vilka är Sveriges tre största sjöar?	What are Sweden's three largest lakes?	سێ گەورەترین دەریاچەی سوید کامانەن؟	a	Vänern, Vättern och Mälaren	Vänern, Vättern, and Mälaren	Vänern و Vättern و Mälaren	a: Vänern, Vättern och Mälaren | b: Östersjön, Kattegatt och Skagerrak | c: Gotland, Öland och Orust | d: Stockholm, Göteborg och Malmö	a: Vänern, Vättern, and Mälaren | b: The Baltic Sea, Kattegat, and Skagerrak | c: Gotland, Öland, and Orust | d: Stockholm, Gothenburg, and Malmö	a: Vänern و Vättern و Mälaren | b: دەریای بەڵتیک و Kattegat و Skagerrak | c: Gotland و Öland و Orust | d: Stockholm و Göteborg و Malmö	Sverige har många sjöar spridda över hela landet, och de tre största är Vänern, Vättern och Mälaren. De andra alternativen räknar upp havsområden, öar eller städer i stället för sjöar.	Sweden has many lakes throughout the country, and the three largest are Vänern, Vättern, and Mälaren. The other choices list sea areas, islands, or cities instead of lakes.	لە سەرانسەری سوید دەریاچەی زۆر هەیە، و سێ گەورەترینیان Vänern و Vättern و Mälaren ن. هەڵبژاردەکانی تر ناوچەی دەریایی، دوورگە یان شار دەژمێرن نەک دەریاچە.	pending_native_review	pending_reviewer_notes
q009	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Befolkning	7	Ungefär hur många människor bor i Sverige?	Approximately how many people live in Sweden?	نزیکەی چەند کەس لە سوید دەژین؟	a	Nästan 11 miljoner	Almost 11 million	نزیکەی ١١ ملیۆن	a: Nästan 11 miljoner | b: Nästan 1 miljon | c: Cirka 50 miljoner | d: Cirka 100 miljoner	a: Almost 11 million | b: Almost 1 million | c: About 50 million | d: About 100 million	a: نزیکەی ١١ ملیۆن | b: نزیکەی ١ ملیۆن | c: نزیکەی ٥٠ ملیۆن | d: نزیکەی ١٠٠ ملیۆن	Det bor nästan 11 miljoner människor i Sverige. Befolkningen är inte jämnt fördelad: de flesta bor i den södra delen av landet och längs kusterna.	Almost 11 million people live in Sweden. The population is not evenly distributed: most people live in the southern part of the country and along the coasts.	نزیکەی ١١ ملیۆن کەس لە سوید دەژین. دانیشتووان بە یەکسانی دابەش نەبوون: زۆربەی خەڵک لە بەشی باشووری وڵات و بە درێژایی کەنارەکان دەژین.	pending_native_review	pending_reviewer_notes
q010	ckb	1	Ch. 01 · The country of Sweden	Landet Sverige	Naturresurser	7	Vilka naturresurser är viktiga i Sverige?	Which natural resources are important in Sweden?	کام سەرچاوە سروشتییەکان لە سوید گرنگن؟	a	Järnmalm och andra mineraler, skog, jordbruksmark och vatten	Iron ore and other minerals, forest, agricultural land, and water	کانزای ئاسن و کانزاکانی تر، دارستان، زەوی کشتوکاڵی و ئاو	a: Järnmalm och andra mineraler, skog, jordbruksmark och vatten | b: Olja, naturgas, ökenmark och tropiskt regn | c: Kol, diamantgruvor, vulkanjord och palmer | d: Risfält, bomullsplantager, korallrev och tidvatten	a: Iron ore and other minerals, forest, agricultural land, and water | b: Oil, natural gas, desert land, and tropical rain | c: Coal, diamond mines, volcanic soil, and palm trees | d: Rice fields, cotton plantations, coral reefs, and tides	a: کانزای ئاسن و کانزاکانی تر، دارستان، زەوی کشتوکاڵی و ئاو | b: نەوت، گازی سروشتی، زەوی بیابانی و بارانی گەرمەسێری | c: خەڵوز، کانەکانی ئەڵماس، خاکی گڕکان و دارخورما | d: کێڵگەی برنج، کشتەزاری پەمۆ، قەڵغانی مرجان و هەڵکشانی ئاو	Sverige är rikt på flera viktiga naturresurser: järnmalm och andra mineraler, skog, jordbruksmark och vatten. Olja, naturgas, ökenmark, tropiskt regn och liknande beskriver inte Sveriges viktiga naturresurser.	Sweden is rich in several important natural resources: iron ore and other minerals, forests, agricultural land, and water. Oil, natural gas, desert land, tropical rain, and similar items do not describe Sweden's important natural resources.	سوید بە چەند سەرچاوەی سروشتی گرنگ دەوڵەمەندە: کانزای ئاسن و کانزاکانی تر، دارستان، زەوی کشتوکاڵی و ئاو. نەوت، گازی سروشتی، زەوی بیابانی، بارانی گەرمەسێری و شتی هاوشێوە سەرچاوە سروشتییە گرنگەکانی سوید وەسف ناکەن.	pending_native_review	pending_reviewer_notes
