id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q001	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Var ligger Sverige?	Where is Sweden located?	Де розташована Швеція?	a	I Norden i norra Europa	In the Nordic region in northern Europe	У Північній Європі, у скандинавському регіоні	a: I Norden i norra Europa | b: I södra Europa | c: I västra Asien | d: I Nordamerika	a: In the Nordic region in northern Europe | b: In southern Europe | c: In western Asia | d: In North America	a: У Північній Європі, у скандинавському регіоні | b: У Південній Європі | c: У Західній Азії | d: У Північній Америці	Sverige ligger i Norden i norra Europa. Norden består av Danmark, Finland, Island, Norge och Sverige och är en del av norra Europa.	Sweden is in the Nordic region in northern Europe. The Nordic region includes Denmark, Finland, Iceland, Norway, and Sweden and is part of northern Europe.	Швеція розташована в Північній Європі, у скандинавському регіоні. До нього належать Данія, Фінляндія, Ісландія, Норвегія та Швеція.	pending_native_review	pending_reviewer_notes
q002	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Sveriges nordligaste del ligger norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle.	Найпівнічніша частина Швеції розташована на північ від Полярного кола.	true	Sant	True	Правда	true: Sant | false: Falskt	true: True | false: False	true: Правда | false: Неправда	Sveriges nordligaste del ligger norr om polcirkeln, i det arktiska området. Den norra delen av landet sträcker sig alltså in i området norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle, in the Arctic area. The northern part of the country therefore extends into the area north of the Arctic Circle.	Найпівнічніша частина Швеції лежить на північ від Полярного кола, в арктичній зоні. Отже, північ країни простягається в територію за Полярним колом.	pending_native_review	pending_reviewer_notes
q003	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Ungefär hur långt sträcker sig Sverige från Treriksröset till Smygehuk?	Approximately how far does Sweden stretch from Treriksröset to Smygehuk?	Приблизно на яку відстань простягається Швеція від Treriksröset до Smygehuk?	b	Cirka 1 600 kilometer	About 1,600 kilometres	Близько 1600 кілометрів	a: Cirka 160 kilometer | b: Cirka 1 600 kilometer | c: Cirka 16 000 kilometer | d: Cirka 60 kilometer	a: About 160 kilometres | b: About 1,600 kilometres | c: About 16,000 kilometres | d: About 60 kilometres	a: Близько 160 кілометрів | b: Близько 1600 кілометрів | c: Близько 16 000 кілометрів | d: Близько 60 кілометрів	Sverige är ett avlångt land som sträcker sig cirka 1 600 kilometer från Treriksröset i norr till Smygehuk i söder. Avstånden 160 och 60 kilometer är för korta, och 16 000 kilometer är för långt.	Sweden is an elongated country that stretches about 1,600 kilometres from Treriksröset in the north to Smygehuk in the south. The distances 160 and 60 kilometres are too short, and 16,000 kilometres is too long.	Швеція — витягнута країна, що простягається приблизно на 1600 кілометрів від Treriksröset на півночі до Smygehuk на півдні. 160 і 60 кілометрів — замало, а 16 000 кілометрів — забагато.	pending_native_review	pending_reviewer_notes
q004	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vad heter havet vid Sveriges östra kust?	What is the sea along Sweden's eastern coast called?	Як називається море біля східного узбережжя Швеції?	c	Östersjön	The Baltic Sea	Балтійське море	a: Nordsjön | b: Medelhavet | c: Östersjön | d: Atlanten	a: The North Sea | b: The Mediterranean Sea | c: The Baltic Sea | d: The Atlantic Ocean	a: Північне море | b: Середземне море | c: Балтійське море | d: Атлантичний океан	Havet vid Sveriges östra kust heter Östersjön. Nordsjön, Medelhavet och Atlanten är inte namnet på havet vid Sveriges östra kust.	The sea along Sweden's eastern coast is the Baltic Sea. The North Sea, the Mediterranean Sea, and the Atlantic Ocean are not the sea along Sweden's eastern coast.	Море біля східного узбережжя Швеції називається Балтійським морем. Північне море, Середземне море й Атлантичний океан не є морем біля східного узбережжя Швеції.	pending_native_review	pending_reviewer_notes
q005	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vilka öar är Sveriges två största?	Which islands are Sweden's two largest?	Які острови є двома найбільшими у Швеції?	a	Gotland och Öland	Gotland and Öland	Готланд і Еланд	a: Gotland och Öland | b: Hisingen och Orust | c: Värmdö och Tjörn | d: Malmö och Göteborg	a: Gotland and Öland | b: Hisingen and Orust | c: Värmdö and Tjörn | d: Malmö and Gothenburg	a: Готланд і Еланд | b: Hisingen і Orust | c: Värmdö і Tjörn | d: Мальме і Гетеборг	Sveriges två största öar är Gotland och Öland. Hisingen, Orust, Värmdö och Tjörn är också svenska öar men är inte de två största, och Malmö och Göteborg är städer.	Sweden's two largest islands are Gotland and Öland. Hisingen, Orust, Värmdö, and Tjörn are also Swedish islands but are not the two largest, and Malmö and Gothenburg are cities.	Два найбільші острови Швеції — Gotland і Öland. Hisingen, Orust, Värmdö і Tjörn також є шведськими островами, але не двома найбільшими, а Malmö і Göteborg — це міста.	pending_native_review	pending_reviewer_notes
q006	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Golfströmmen och den Nordatlantiska strömmen bidrar till Sveriges milda klimat.	The Gulf Stream and the North Atlantic Current help make Sweden's climate mild.	Гольфстрім і Північно-Атлантична течія сприяють м’якому клімату Швеції.	true	Sant	True	Правда	true: Sant | false: Falskt	true: True | false: False	true: Правда | false: Неправда	Sverige har ett milt klimat jämfört med många andra områden på samma breddgrad. Golfströmmen och den Nordatlantiska strömmen transporterar varmt vatten mot Europa, vilket värmer luften som vindarna för in över Sverige.	Sweden has a mild climate compared with many other areas at the same latitude. The Gulf Stream and the North Atlantic Current carry warm water toward Europe, warming the air that winds bring over Sweden.	Швеція має м’який клімат порівняно з багатьма іншими територіями на тій самій широті. Гольфстрім і Північно-Атлантична течія несуть теплу воду до Європи, зігріваючи повітря, яке вітри приносять до Швеції.	pending_native_review	pending_reviewer_notes
q007	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Fjäll	6	Vad heter Sveriges högsta berg?	What is the name of Sweden's highest mountain?	Як називається найвища гора Швеції?	a	Kebnekaise	Kebnekaise	Kebnekaise	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	Sveriges högsta berg heter Kebnekaise och är cirka 2 000 meter högt. Det ligger i fjällen, den del av bergskedjan Skanderna som går längs gränsen mot Norge.	Sweden's highest mountain is Kebnekaise, at about 2,000 metres. It is in the mountain region called fjällen, part of the Scandinavian Mountains along the border with Norway.	Найвища гора Швеції — Kebnekaise, її висота близько 2000 метрів. Вона розташована в гірському регіоні fjällen, частині Скандинавських гір уздовж кордону з Норвегією. (Treriksröset; Smygehuk)	pending_native_review	pending_reviewer_notes
q008	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Skogar, sjöar och öar	6	Vilka är Sveriges tre största sjöar?	What are Sweden's three largest lakes?	Які три озера є найбільшими у Швеції?	a	Vänern, Vättern och Mälaren	Vänern, Vättern, and Mälaren	Vänern, Vättern і Mälaren	a: Vänern, Vättern och Mälaren | b: Östersjön, Kattegatt och Skagerrak | c: Gotland, Öland och Orust | d: Stockholm, Göteborg och Malmö	a: Vänern, Vättern, and Mälaren | b: The Baltic Sea, Kattegat, and Skagerrak | c: Gotland, Öland, and Orust | d: Stockholm, Gothenburg, and Malmö	a: Vänern, Vättern і Mälaren | b: Балтійське море, Kattegat і Skagerrak | c: Gotland, Öland і Orust | d: Стокгольм, Гетеборг і Мальме	Sverige har många sjöar spridda över hela landet, och de tre största är Vänern, Vättern och Mälaren. De andra alternativen räknar upp havsområden, öar eller städer i stället för sjöar.	Sweden has many lakes throughout the country, and the three largest are Vänern, Vättern, and Mälaren. The other choices list sea areas, islands, or cities instead of lakes.	У Швеції багато озер по всій країні, а три найбільші — Vänern, Vättern і Mälaren. Інші варіанти перелічують морські райони, острови або міста, а не озера.	pending_native_review	pending_reviewer_notes
q009	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Befolkning	7	Ungefär hur många människor bor i Sverige?	Approximately how many people live in Sweden?	Приблизно скільки людей живе у Швеції?	a	Nästan 11 miljoner	Almost 11 million	Майже 11 мільйонів	a: Nästan 11 miljoner | b: Nästan 1 miljon | c: Cirka 50 miljoner | d: Cirka 100 miljoner	a: Almost 11 million | b: Almost 1 million | c: About 50 million | d: About 100 million	a: Майже 11 мільйонів | b: Майже 1 мільйон | c: Близько 50 мільйонів | d: Близько 100 мільйонів	Det bor nästan 11 miljoner människor i Sverige. Befolkningen är inte jämnt fördelad: de flesta bor i den södra delen av landet och längs kusterna.	Almost 11 million people live in Sweden. The population is not evenly distributed: most people live in the southern part of the country and along the coasts.	У Швеції живе майже 11 мільйонів людей. Населення розподілене нерівномірно: більшість живе в південній частині країни та вздовж узбереж.	pending_native_review	pending_reviewer_notes
q010	uk	1	Ch. 01 · The country of Sweden	Landet Sverige	Naturresurser	7	Vilka naturresurser är viktiga i Sverige?	Which natural resources are important in Sweden?	Які природні ресурси важливі у Швеції?	a	Järnmalm och andra mineraler, skog, jordbruksmark och vatten	Iron ore and other minerals, forest, agricultural land, and water	Залізна руда та інші мінерали, ліси, сільськогосподарські землі й вода	a: Järnmalm och andra mineraler, skog, jordbruksmark och vatten | b: Olja, naturgas, ökenmark och tropiskt regn | c: Kol, diamantgruvor, vulkanjord och palmer | d: Risfält, bomullsplantager, korallrev och tidvatten	a: Iron ore and other minerals, forest, agricultural land, and water | b: Oil, natural gas, desert land, and tropical rain | c: Coal, diamond mines, volcanic soil, and palm trees | d: Rice fields, cotton plantations, coral reefs, and tides	a: Залізна руда та інші мінерали, ліси, сільськогосподарські землі й вода | b: Нафта, природний газ, пустельні землі й тропічні дощі | c: Вугілля, алмазні шахти, вулканічний ґрунт і пальми | d: Рисові поля, бавовняні плантації, коралові рифи й припливи	Sverige är rikt på flera viktiga naturresurser: järnmalm och andra mineraler, skog, jordbruksmark och vatten. Olja, naturgas, ökenmark, tropiskt regn och liknande beskriver inte Sveriges viktiga naturresurser.	Sweden is rich in several important natural resources: iron ore and other minerals, forests, agricultural land, and water. Oil, natural gas, desert land, tropical rain, and similar items do not describe Sweden's important natural resources.	Швеція багата на кілька важливих природних ресурсів: залізну руду та інші мінерали, ліси, сільськогосподарські землі й воду. Нафта, природний газ, пустельні землі, тропічні дощі та подібні речі не описують важливі природні ресурси Швеції.	pending_native_review	pending_reviewer_notes
