id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q001	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Var ligger Sverige?	Where is Sweden located?	瑞典位於哪裡？	a	I Norden i norra Europa	In the Nordic region in northern Europe	位於北歐的北歐地區	a: I Norden i norra Europa | b: I södra Europa | c: I västra Asien | d: I Nordamerika	a: In the Nordic region in northern Europe | b: In southern Europe | c: In western Asia | d: In North America	a: 位於北歐的北歐地區 | b: 位於南歐 | c: 位於西亞 | d: 位於北美洲	Sverige ligger i Norden i norra Europa. Norden består av Danmark, Finland, Island, Norge och Sverige och är en del av norra Europa.	Sweden is in the Nordic region in northern Europe. The Nordic region includes Denmark, Finland, Iceland, Norway, and Sweden and is part of northern Europe.	瑞典位於北歐的北歐地區。北歐包括丹麥、芬蘭、冰島、挪威和瑞典，是北歐的一部分。	pending_native_review	pending_reviewer_notes
q002	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Sveriges nordligaste del ligger norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle.	瑞典最北端位於北極圈以北。	true	Sant	True	正確	true: Sant | false: Falskt	true: True | false: False	true: 正確 | false: 錯誤	Sveriges nordligaste del ligger norr om polcirkeln, i det arktiska området. Den norra delen av landet sträcker sig alltså in i området norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle, in the Arctic area. The northern part of the country therefore extends into the area north of the Arctic Circle.	瑞典最北端在北極圈以北，屬於北極地區。也就是說，瑞典北部延伸到北極圈以北的區域。	pending_native_review	pending_reviewer_notes
q003	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Ungefär hur långt sträcker sig Sverige från Treriksröset till Smygehuk?	Approximately how far does Sweden stretch from Treriksröset to Smygehuk?	從 Treriksröset 到 Smygehuk，瑞典南北大約有多長？	b	Cirka 1 600 kilometer	About 1,600 kilometres	約 1,600 公里	a: Cirka 160 kilometer | b: Cirka 1 600 kilometer | c: Cirka 16 000 kilometer | d: Cirka 60 kilometer	a: About 160 kilometres | b: About 1,600 kilometres | c: About 16,000 kilometres | d: About 60 kilometres	a: 約 160 公里 | b: 約 1,600 公里 | c: 約 16,000 公里 | d: 約 60 公里	Sverige är ett avlångt land som sträcker sig cirka 1 600 kilometer från Treriksröset i norr till Smygehuk i söder. Avstånden 160 och 60 kilometer är för korta, och 16 000 kilometer är för långt.	Sweden is an elongated country that stretches about 1,600 kilometres from Treriksröset in the north to Smygehuk in the south. The distances 160 and 60 kilometres are too short, and 16,000 kilometres is too long.	瑞典是狹長的國家，從北部的 Treriksröset 到南部的 Smygehuk 約 1,600 公里。160 和 60 公里太短，16,000 公里則太長。	pending_native_review	pending_reviewer_notes
q004	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vad heter havet vid Sveriges östra kust?	What is the sea along Sweden's eastern coast called?	瑞典東海岸沿岸的海叫什麼？	c	Östersjön	The Baltic Sea	波羅的海	a: Nordsjön | b: Medelhavet | c: Östersjön | d: Atlanten	a: The North Sea | b: The Mediterranean Sea | c: The Baltic Sea | d: The Atlantic Ocean	a: 北海 | b: 地中海 | c: 波羅的海 | d: 大西洋	Havet vid Sveriges östra kust heter Östersjön. Nordsjön, Medelhavet och Atlanten är inte namnet på havet vid Sveriges östra kust.	The sea along Sweden's eastern coast is the Baltic Sea. The North Sea, the Mediterranean Sea, and the Atlantic Ocean are not the sea along Sweden's eastern coast.	瑞典東海岸沿岸的海是波羅的海。北海、地中海和大西洋都不是瑞典東海岸沿岸的海名。	pending_native_review	pending_reviewer_notes
q005	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vilka öar är Sveriges två största?	Which islands are Sweden's two largest?	瑞典最大的兩座島是哪兩座？	a	Gotland och Öland	Gotland and Öland	Gotland 和 Öland	a: Gotland och Öland | b: Hisingen och Orust | c: Värmdö och Tjörn | d: Malmö och Göteborg	a: Gotland and Öland | b: Hisingen and Orust | c: Värmdö and Tjörn | d: Malmö and Gothenburg	a: Gotland 和 Öland | b: Hisingen 和 Orust | c: Värmdö 和 Tjörn | d: Malmö 和 Göteborg	Sveriges två största öar är Gotland och Öland. Hisingen, Orust, Värmdö och Tjörn är också svenska öar men är inte de två största, och Malmö och Göteborg är städer.	Sweden's two largest islands are Gotland and Öland. Hisingen, Orust, Värmdö, and Tjörn are also Swedish islands but are not the two largest, and Malmö and Gothenburg are cities.	瑞典最大的兩座島是 Gotland 和 Öland。Hisingen、Orust、Värmdö 和 Tjörn 也是瑞典島嶼，但不是最大的兩座；Malmö 和 Göteborg 是城市。	pending_native_review	pending_reviewer_notes
q006	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Golfströmmen och den Nordatlantiska strömmen bidrar till Sveriges milda klimat.	The Gulf Stream and the North Atlantic Current help make Sweden's climate mild.	墨西哥灣流和北大西洋洋流有助於讓瑞典氣候溫和。	true	Sant	True	正確	true: Sant | false: Falskt	true: True | false: False	true: 正確 | false: 錯誤	Sverige har ett milt klimat jämfört med många andra områden på samma breddgrad. Golfströmmen och den Nordatlantiska strömmen transporterar varmt vatten mot Europa, vilket värmer luften som vindarna för in över Sverige.	Sweden has a mild climate compared with many other areas at the same latitude. The Gulf Stream and the North Atlantic Current carry warm water toward Europe, warming the air that winds bring over Sweden.	與許多同緯度地區相比，瑞典氣候較溫和。墨西哥灣流和北大西洋洋流把暖水帶向歐洲，讓吹向瑞典的空氣變暖。	pending_native_review	pending_reviewer_notes
q007	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Fjäll	6	Vad heter Sveriges högsta berg?	What is the name of Sweden's highest mountain?	瑞典最高的山叫什麼？	a	Kebnekaise	Kebnekaise	Kebnekaise	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	Sveriges högsta berg heter Kebnekaise och är cirka 2 000 meter högt. Det ligger i fjällen, den del av bergskedjan Skanderna som går längs gränsen mot Norge.	Sweden's highest mountain is Kebnekaise, at about 2,000 metres. It is in the mountain region called fjällen, part of the Scandinavian Mountains along the border with Norway.	瑞典最高的山是 Kebnekaise，高約 2,000 公尺。它位於山區 fjällen，也就是沿挪威邊界延伸的斯堪地那維亞山脈的一部分。 (Treriksröset; Smygehuk)	pending_native_review	pending_reviewer_notes
q008	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Skogar, sjöar och öar	6	Vilka är Sveriges tre största sjöar?	What are Sweden's three largest lakes?	瑞典最大的三座湖是哪三座？	a	Vänern, Vättern och Mälaren	Vänern, Vättern, and Mälaren	Vänern、Vättern 和 Mälaren	a: Vänern, Vättern och Mälaren | b: Östersjön, Kattegatt och Skagerrak | c: Gotland, Öland och Orust | d: Stockholm, Göteborg och Malmö	a: Vänern, Vättern, and Mälaren | b: The Baltic Sea, Kattegat, and Skagerrak | c: Gotland, Öland, and Orust | d: Stockholm, Gothenburg, and Malmö	a: Vänern、Vättern 和 Mälaren | b: 波羅的海、Kattegat 和 Skagerrak | c: Gotland、Öland 和 Orust | d: Stockholm、Göteborg 和 Malmö	Sverige har många sjöar spridda över hela landet, och de tre största är Vänern, Vättern och Mälaren. De andra alternativen räknar upp havsområden, öar eller städer i stället för sjöar.	Sweden has many lakes throughout the country, and the three largest are Vänern, Vättern, and Mälaren. The other choices list sea areas, islands, or cities instead of lakes.	瑞典全國有許多湖泊，最大的三座是 Vänern、Vättern 和 Mälaren。其他選項列出的是海域、島嶼或城市，而不是湖泊。	pending_native_review	pending_reviewer_notes
q009	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Befolkning	7	Ungefär hur många människor bor i Sverige?	Approximately how many people live in Sweden?	瑞典大約有多少人口？	a	Nästan 11 miljoner	Almost 11 million	將近 1,100 萬	a: Nästan 11 miljoner | b: Nästan 1 miljon | c: Cirka 50 miljoner | d: Cirka 100 miljoner	a: Almost 11 million | b: Almost 1 million | c: About 50 million | d: About 100 million	a: 將近 1,100 萬 | b: 將近 100 萬 | c: 約 5,000 萬 | d: 約 1 億	Det bor nästan 11 miljoner människor i Sverige. Befolkningen är inte jämnt fördelad: de flesta bor i den södra delen av landet och längs kusterna.	Almost 11 million people live in Sweden. The population is not evenly distributed: most people live in the southern part of the country and along the coasts.	瑞典有將近 1,100 萬人口。人口分布並不平均：多數人住在南部和沿海地區。	pending_native_review	pending_reviewer_notes
q010	zh-Hant	1	Ch. 01 · The country of Sweden	Landet Sverige	Naturresurser	7	Vilka naturresurser är viktiga i Sverige?	Which natural resources are important in Sweden?	哪些自然資源對瑞典很重要？	a	Järnmalm och andra mineraler, skog, jordbruksmark och vatten	Iron ore and other minerals, forest, agricultural land, and water	鐵礦和其他礦物、森林、農地和水	a: Järnmalm och andra mineraler, skog, jordbruksmark och vatten | b: Olja, naturgas, ökenmark och tropiskt regn | c: Kol, diamantgruvor, vulkanjord och palmer | d: Risfält, bomullsplantager, korallrev och tidvatten	a: Iron ore and other minerals, forest, agricultural land, and water | b: Oil, natural gas, desert land, and tropical rain | c: Coal, diamond mines, volcanic soil, and palm trees | d: Rice fields, cotton plantations, coral reefs, and tides	a: 鐵礦和其他礦物、森林、農地和水 | b: 石油、天然氣、沙漠土地和熱帶雨水 | c: 煤、鑽石礦、火山土和棕櫚樹 | d: 稻田、棉花種植園、珊瑚礁和潮汐	Sverige är rikt på flera viktiga naturresurser: järnmalm och andra mineraler, skog, jordbruksmark och vatten. Olja, naturgas, ökenmark, tropiskt regn och liknande beskriver inte Sveriges viktiga naturresurser.	Sweden is rich in several important natural resources: iron ore and other minerals, forests, agricultural land, and water. Oil, natural gas, desert land, tropical rain, and similar items do not describe Sweden's important natural resources.	瑞典擁有多種重要自然資源：鐵礦和其他礦物、森林、農地和水。石油、天然氣、沙漠土地、熱帶雨水等並不能描述瑞典的重要自然資源。	pending_native_review	pending_reviewer_notes
