id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q001	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Var ligger Sverige?	Where is Sweden located?	ሽወደን ኣበይ ትርከብ?	a	I Norden i norra Europa	In the Nordic region in northern Europe	ኣብ ናይ ኖርዲክ ክልል ኣብ ሰሜን ኤውሮጳ	a: I Norden i norra Europa | b: I södra Europa | c: I västra Asien | d: I Nordamerika	a: In the Nordic region in northern Europe | b: In southern Europe | c: In western Asia | d: In North America	a: ኣብ ናይ ኖርዲክ ክልል ኣብ ሰሜን ኤውሮጳ | b: ኣብ ደቡብ ኤውሮጳ | c: ኣብ ምዕራብ ኤስያ | d: ኣብ ሰሜን ኣመሪካ	Sverige ligger i Norden i norra Europa. Norden består av Danmark, Finland, Island, Norge och Sverige och är en del av norra Europa.	Sweden is in the Nordic region in northern Europe. The Nordic region includes Denmark, Finland, Iceland, Norway, and Sweden and is part of northern Europe.	ሽወደን ኣብ ናይ ኖርዲክ ክልል ኣብ ሰሜን ኤውሮጳ ትርከብ። እዚ ክልል ዴንማርክ፣ ፊንላንድ፣ ኣይስላንድ፣ ኖርወይን ሽወደንን የጠቓልል።	pending_native_review	pending_reviewer_notes
q002	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Sveriges nordligaste del ligger norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle.	እቲ ናይ ሽወደን ብዝያዳ ሰሜናዊ ክፍሊ ካብ ዓውዲ ሰሜናዊ ፖላር ንሰሜን ይርከብ።	true	Sant	True	ትኽክል	true: Sant | false: Falskt	true: True | false: False	true: ትኽክል | false: ጌጋ	Sveriges nordligaste del ligger norr om polcirkeln, i det arktiska området. Den norra delen av landet sträcker sig alltså in i området norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle, in the Arctic area. The northern part of the country therefore extends into the area north of the Arctic Circle.	እቲ ብዝያዳ ሰሜናዊ ክፍሊ ሽወደን ኣብ ናይ ኣርክቲክ ክልል፣ ካብ ዓውዲ ሰሜናዊ ፖላር ንሰሜን ይርከብ። ስለዚ ሰሜናዊ ክፍሊ ሃገር ናብቲ ካብ ዓውዲ ፖላር ንሰሜን ዘሎ ክልል ይዝርጋሕ።	pending_native_review	pending_reviewer_notes
q003	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Ungefär hur långt sträcker sig Sverige från Treriksröset till Smygehuk?	Approximately how far does Sweden stretch from Treriksröset to Smygehuk?	ሽወደን ካብ Treriksröset ክሳዕ Smygehuk ብግምት ክንደይ ትዝርጋሕ?	b	Cirka 1 600 kilometer	About 1,600 kilometres	ብግምት 1,600 ኪሎሜተር	a: Cirka 160 kilometer | b: Cirka 1 600 kilometer | c: Cirka 16 000 kilometer | d: Cirka 60 kilometer	a: About 160 kilometres | b: About 1,600 kilometres | c: About 16,000 kilometres | d: About 60 kilometres	a: ብግምት 160 ኪሎሜተር | b: ብግምት 1,600 ኪሎሜተር | c: ብግምት 16,000 ኪሎሜተር | d: ብግምት 60 ኪሎሜተር	Sverige är ett avlångt land som sträcker sig cirka 1 600 kilometer från Treriksröset i norr till Smygehuk i söder. Avstånden 160 och 60 kilometer är för korta, och 16 000 kilometer är för långt.	Sweden is an elongated country that stretches about 1,600 kilometres from Treriksröset in the north to Smygehuk in the south. The distances 160 and 60 kilometres are too short, and 16,000 kilometres is too long.	ሽወደን ነዊሕን ዝተዘርግሐን ሃገር እያ፣ ካብ Treriksröset ኣብ ሰሜን ክሳዕ Smygehuk ኣብ ደቡብ ብግምት 1,600 ኪሎሜተር ትዝርጋሕ። 160ን 60ን ኪሎሜተር ብዙሕ ሓጺር እዩ፣ 16,000 ኪሎሜተር ድማ ብዙሕ ነዊሕ እዩ።	pending_native_review	pending_reviewer_notes
q004	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vad heter havet vid Sveriges östra kust?	What is the sea along Sweden's eastern coast called?	ኣብ ምብራቓዊ ገምገም ባሕሪ ሽወደን ዘሎ ባሕሪ እንታይ ይበሃል?	c	Östersjön	The Baltic Sea	ባሕሪ ባልቲክ	a: Nordsjön | b: Medelhavet | c: Östersjön | d: Atlanten	a: The North Sea | b: The Mediterranean Sea | c: The Baltic Sea | d: The Atlantic Ocean	a: ሰሜናዊ ባሕሪ | b: ባሕሪ ሜዲተራንያን | c: ባሕሪ ባልቲክ | d: ውቅያኖስ ኣትላንቲክ	Havet vid Sveriges östra kust heter Östersjön. Nordsjön, Medelhavet och Atlanten är inte namnet på havet vid Sveriges östra kust.	The sea along Sweden's eastern coast is the Baltic Sea. The North Sea, the Mediterranean Sea, and the Atlantic Ocean are not the sea along Sweden's eastern coast.	ኣብ ምብራቓዊ ገምገም ባሕሪ ሽወደን ዘሎ ባሕሪ ባልቲክ ይበሃል። ሰሜናዊ ባሕሪ፣ ባሕሪ ሜዲተራንያንን ውቅያኖስ ኣትላንቲክን ናይዚ ባሕሪ ስም ኣይኮኑን።	pending_native_review	pending_reviewer_notes
q005	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vilka öar är Sveriges två största?	Which islands are Sweden's two largest?	ክልተ ዝዓበያ ደሴታት ሽወደን ኣየኖት እየን?	a	Gotland och Öland	Gotland and Öland	Gotlandን Ölandን	a: Gotland och Öland | b: Hisingen och Orust | c: Värmdö och Tjörn | d: Malmö och Göteborg	a: Gotland and Öland | b: Hisingen and Orust | c: Värmdö and Tjörn | d: Malmö and Gothenburg	a: Gotlandን Ölandን | b: Hisingenን Orustን | c: Värmdöን Tjörnን | d: Malmöን Göteborgን	Sveriges två största öar är Gotland och Öland. Hisingen, Orust, Värmdö och Tjörn är också svenska öar men är inte de två största, och Malmö och Göteborg är städer.	Sweden's two largest islands are Gotland and Öland. Hisingen, Orust, Värmdö, and Tjörn are also Swedish islands but are not the two largest, and Malmö and Gothenburg are cities.	ክልተ ዝዓበያ ደሴታት ሽወደን Gotlandን Ölandን እየን። Hisingen፣ Orust፣ Värmdöን Tjörnን እውን ደሴታት ሽወደን እየን፣ ግን ክልተ ዝዓበያ ኣይኮናን፤ Malmöን Göteborgን ድማ ከተማታት እየን።	pending_native_review	pending_reviewer_notes
q006	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Golfströmmen och den Nordatlantiska strömmen bidrar till Sveriges milda klimat.	The Gulf Stream and the North Atlantic Current help make Sweden's climate mild.	ጎልፍ ስትሪምን ሰሜናዊ ኣትላንቲክ ዋሕዝን ንለስላሳ ክሊማ ሽወደን ይሕግዙ።	true	Sant	True	ትኽክል	true: Sant | false: Falskt	true: True | false: False	true: ትኽክል | false: ጌጋ	Sverige har ett milt klimat jämfört med många andra områden på samma breddgrad. Golfströmmen och den Nordatlantiska strömmen transporterar varmt vatten mot Europa, vilket värmer luften som vindarna för in över Sverige.	Sweden has a mild climate compared with many other areas at the same latitude. The Gulf Stream and the North Atlantic Current carry warm water toward Europe, warming the air that winds bring over Sweden.	ሽወደን ካብ ብዙሓት ኣብ ተመሳሳሊ ኬክሮስ ዘለዋ ከባቢታት ጋር ክትነጻጸር ከላ ለስላሳ ክሊማ ኣለዋ። ጎልፍ ስትሪምን ሰሜናዊ ኣትላንቲክ ዋሕዝን ሞቃት ማይ ናብ ኤውሮጳ ይወስዱ፣ እዚ ድማ ነቲ ንሽወደን ዝመጽእ ኣየር የሞቕ።	pending_native_review	pending_reviewer_notes
q007	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Fjäll	6	Vad heter Sveriges högsta berg?	What is the name of Sweden's highest mountain?	ስም እቲ ዝለዓለ እምባ ሽወደን እንታይ እዩ?	a	Kebnekaise	Kebnekaise	Kebnekaise	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	Sveriges högsta berg heter Kebnekaise och är cirka 2 000 meter högt. Det ligger i fjällen, den del av bergskedjan Skanderna som går längs gränsen mot Norge.	Sweden's highest mountain is Kebnekaise, at about 2,000 metres. It is in the mountain region called fjällen, part of the Scandinavian Mountains along the border with Norway.	እቲ ዝለዓለ እምባ ሽወደን Kebnekaise ይበሃል፣ ብግምት 2,000 ሜትር ቁመት ኣለዎ። ኣብቲ fjällen ዝበሃል ናይ እምባታት ክልል ይርከብ፣ እዚ ድማ ኣብ ዶብ ኖርወይ ዘሎ ክፋል ናይ እምባታት ስካንዲናቪያ እዩ። (Treriksröset; Smygehuk)	pending_native_review	pending_reviewer_notes
q008	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Skogar, sjöar och öar	6	Vilka är Sveriges tre största sjöar?	What are Sweden's three largest lakes?	ሰለስተ ዝዓበያ ቃላያት ሽወደን ኣየኖት እየን?	a	Vänern, Vättern och Mälaren	Vänern, Vättern, and Mälaren	Vänern፣ Vätternን Mälarenን	a: Vänern, Vättern och Mälaren | b: Östersjön, Kattegatt och Skagerrak | c: Gotland, Öland och Orust | d: Stockholm, Göteborg och Malmö	a: Vänern, Vättern, and Mälaren | b: The Baltic Sea, Kattegat, and Skagerrak | c: Gotland, Öland, and Orust | d: Stockholm, Gothenburg, and Malmö	a: Vänern፣ Vätternን Mälarenን | b: ባሕሪ ባልቲክ፣ Kattegatን Skagerrakን | c: Gotland፣ Ölandን Orustን | d: Stockholm፣ Göteborgን Malmöን	Sverige har många sjöar spridda över hela landet, och de tre största är Vänern, Vättern och Mälaren. De andra alternativen räknar upp havsområden, öar eller städer i stället för sjöar.	Sweden has many lakes throughout the country, and the three largest are Vänern, Vättern, and Mälaren. The other choices list sea areas, islands, or cities instead of lakes.	ሽወደን ኣብ ሙሉእ ሃገር ብዙሓት ቃላያት ኣለዋ፣ ሰለስተ ዝዓበያ ድማ Vänern፣ Vätternን Mälarenን እየን። እቶም ካልኦት ምርጫታት ክልላት ባሕሪ፣ ደሴታት ወይ ከተማታት ይጠቕሱ እምበር ቃላያት ኣይኮኑን።	pending_native_review	pending_reviewer_notes
q009	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Befolkning	7	Ungefär hur många människor bor i Sverige?	Approximately how many people live in Sweden?	ብግምት ክንደይ ሰባት ኣብ ሽወደን ይነብሩ?	a	Nästan 11 miljoner	Almost 11 million	ቀረባ 11 ሚልዮን	a: Nästan 11 miljoner | b: Nästan 1 miljon | c: Cirka 50 miljoner | d: Cirka 100 miljoner	a: Almost 11 million | b: Almost 1 million | c: About 50 million | d: About 100 million	a: ቀረባ 11 ሚልዮን | b: ቀረባ 1 ሚልዮን | c: ብግምት 50 ሚልዮን | d: ብግምት 100 ሚልዮን	Det bor nästan 11 miljoner människor i Sverige. Befolkningen är inte jämnt fördelad: de flesta bor i den södra delen av landet och längs kusterna.	Almost 11 million people live in Sweden. The population is not evenly distributed: most people live in the southern part of the country and along the coasts.	ቀረባ 11 ሚልዮን ሰባት ኣብ ሽወደን ይነብሩ። ህዝቢ ብማዕረ ኣይተዘርግሐን፤ ብዙሓት ሰባት ኣብ ደቡባዊ ክፍሊ ሃገርን ኣብ ገምገማት ባሕሪን ይነብሩ።	pending_native_review	pending_reviewer_notes
q010	ti	1	Ch. 01 · The country of Sweden	Landet Sverige	Naturresurser	7	Vilka naturresurser är viktiga i Sverige?	Which natural resources are important in Sweden?	ኣብ ሽወደን ኣገደስቲ ዝኾኑ ባህርያዊ ሃብትታት ኣየኖት እዮም?	a	Järnmalm och andra mineraler, skog, jordbruksmark och vatten	Iron ore and other minerals, forest, agricultural land, and water	ብረት ማዕድንን ካልኦት ማዕድናትን፣ ዱር፣ መሬት ሕርሻን ማይን	a: Järnmalm och andra mineraler, skog, jordbruksmark och vatten | b: Olja, naturgas, ökenmark och tropiskt regn | c: Kol, diamantgruvor, vulkanjord och palmer | d: Risfält, bomullsplantager, korallrev och tidvatten	a: Iron ore and other minerals, forest, agricultural land, and water | b: Oil, natural gas, desert land, and tropical rain | c: Coal, diamond mines, volcanic soil, and palm trees | d: Rice fields, cotton plantations, coral reefs, and tides	a: ብረት ማዕድንን ካልኦት ማዕድናትን፣ ዱር፣ መሬት ሕርሻን ማይን | b: ነዳዲ፣ ባህርያዊ ጋዝ፣ ምድረ በዳን ትሮፒካዊ ዝናብን | c: ከሰል፣ ማዕድን ኣልማዝ፣ መሬት እሳተ ገሞራን ፓልምን | d: ማሳታት ሩዝ፣ ተኽሊ ጡጥ፣ ኮራል ሪፍን ማዕበል ባሕርን	Sverige är rikt på flera viktiga naturresurser: järnmalm och andra mineraler, skog, jordbruksmark och vatten. Olja, naturgas, ökenmark, tropiskt regn och liknande beskriver inte Sveriges viktiga naturresurser.	Sweden is rich in several important natural resources: iron ore and other minerals, forests, agricultural land, and water. Oil, natural gas, desert land, tropical rain, and similar items do not describe Sweden's important natural resources.	ሽወደን ብብዙሓት ኣገደስቲ ባህርያዊ ሃብትታት ሃብታም እያ፤ ብረት ማዕድንን ካልኦት ማዕድናትን፣ ዱር፣ መሬት ሕርሻን ማይን። ነዳዲ፣ ባህርያዊ ጋዝ፣ ምድረ በዳ፣ ትሮፒካዊ ዝናብን ተመሳሳሊ ነገራትን ኣገደስቲ ባህርያዊ ሃብትታት ሽወደን ኣይገልጹን።	pending_native_review	pending_reviewer_notes
